manufacturer,model,category,registrations_count,month_year,state
"Ather Energy","450X","ev_two_wheeler",76,"2021-02-01","Karnataka"
"Ather Energy","450X","ev_two_wheeler",57,"2021-02-01","Delhi"
"Ather Energy","450X","ev_two_wheeler",49,"2021-02-01","Tamil Nadu"
"Ather Energy","450X","ev_two_wheeler",54,"2021-02-01","Uttar Pradesh"
"Ather Energy","450X","ev_two_wheeler",52,"2021-02-01","Gujarat"
"TVS Motor","iQube","ev_two_wheeler",37,"2021-02-01","Maharashtra"
"TVS Motor","iQube","ev_two_wheeler",30,"2021-02-01","Karnataka"
"TVS Motor","iQube","ev_two_wheeler",26,"2021-02-01","Delhi"
"TVS Motor","iQube","ev_two_wheeler",24,"2021-02-01","Tamil Nadu"
"TVS Motor","iQube","ev_two_wheeler",20,"2021-02-01","Uttar Pradesh"
"TVS Motor","iQube","ev_two_wheeler",23,"2021-02-01","Gujarat"
"Bajaj Auto","Chetak","ev_two_wheeler",28,"2021-02-01","Maharashtra"
"Bajaj Auto","Chetak","ev_two_wheeler",24,"2021-02-01","Karnataka"
"Bajaj Auto","Chetak","ev_two_wheeler",23,"2021-02-01","Delhi"
"Bajaj Auto","Chetak","ev_two_wheeler",15,"2021-02-01","Tamil Nadu"
"Bajaj Auto","Chetak","ev_two_wheeler",17,"2021-02-01","Uttar Pradesh"
"Bajaj Auto","Chetak","ev_two_wheeler",16,"2021-02-01","Gujarat"
"Hero Electric","Photon","ev_two_wheeler",94,"2021-02-01","Maharashtra"
"Hero Electric","Photon","ev_two_wheeler",88,"2021-02-01","Karnataka"
"Hero Electric","Photon","ev_two_wheeler",57,"2021-02-01","Delhi"
"Hero Electric","Photon","ev_two_wheeler",47,"2021-02-01","Tamil Nadu"
"Hero Electric","Photon","ev_two_wheeler",54,"2021-02-01","Uttar Pradesh"
"Hero Electric","Photon","ev_two_wheeler",52,"2021-02-01","Gujarat"
"Tata Motors","Nexon EV","ev_four_wheeler",58,"2021-02-01","Maharashtra"
"Tata Motors","Nexon EV","ev_four_wheeler",52,"2021-02-01","Karnataka"
"Tata Motors","Nexon EV","ev_four_wheeler",40,"2021-02-01","Delhi"
"Tata Motors","Nexon EV","ev_four_wheeler",29,"2021-02-01","Tamil Nadu"
"Tata Motors","Nexon EV","ev_four_wheeler",32,"2021-02-01","Uttar Pradesh"
"Tata Motors","Nexon EV","ev_four_wheeler",30,"2021-02-01","Gujarat"
"Ather Energy","450X","ev_two_wheeler",65,"2021-03-01","Maharashtra"
"Ather Energy","450X","ev_two_wheeler",65,"2021-03-01","Karnataka"
"Ather Energy","450X","ev_two_wheeler",44,"2021-03-01","Delhi"
"Ather Energy","450X","ev_two_wheeler",40,"2021-03-01","Tamil Nadu"
"Ather Energy","450X","ev_two_wheeler",38,"2021-03-01","Uttar Pradesh"
"Ather Energy","450X","ev_two_wheeler",37,"2021-03-01","Gujarat"
"TVS Motor","iQube","ev_two_wheeler",33,"2021-03-01","Maharashtra"
"TVS Motor","iQube","ev_two_wheeler",33,"2021-03-01","Karnataka"
"TVS Motor","iQube","ev_two_wheeler",23,"2021-03-01","Delhi"
"TVS Motor","iQube","ev_two_wheeler",25,"2021-03-01","Tamil Nadu"
"TVS Motor","iQube","ev_two_wheeler",23,"2021-03-01","Uttar Pradesh"
"TVS Motor","iQube","ev_two_wheeler",20,"2021-03-01","Gujarat"
"Bajaj Auto","Chetak","ev_two_wheeler",19,"2021-03-01","Maharashtra"
"Bajaj Auto","Chetak","ev_two_wheeler",19,"2021-03-01","Karnataka"
"Bajaj Auto","Chetak","ev_two_wheeler",14,"2021-03-01","Delhi"
"Bajaj Auto","Chetak","ev_two_wheeler",12,"2021-03-01","Tamil Nadu"
"Bajaj Auto","Chetak","ev_two_wheeler",14,"2021-03-01","Uttar Pradesh"
"Bajaj Auto","Chetak","ev_two_wheeler",12,"2021-03-01","Gujarat"
"Hero Electric","Photon","ev_two_wheeler",84,"2021-03-01","Maharashtra"
"Hero Electric","Photon","ev_two_wheeler",72,"2021-03-01","Karnataka"
"Hero Electric","Photon","ev_two_wheeler",47,"2021-03-01","Delhi"
"Hero Electric","Photon","ev_two_wheeler",45,"2021-03-01","Tamil Nadu"
"Hero Electric","Photon","ev_two_wheeler",42,"2021-03-01","Uttar Pradesh"
"Hero Electric","Photon","ev_two_wheeler",41,"2021-03-01","Gujarat"
"Tata Motors","Nexon EV","ev_four_wheeler",49,"2021-03-01","Maharashtra"
"Tata Motors","Nexon EV","ev_four_wheeler",37,"2021-03-01","Karnataka"
"Tata Motors","Nexon EV","ev_four_wheeler",37,"2021-03-01","Delhi"
"Tata Motors","Nexon EV","ev_four_wheeler",30,"2021-03-01","Tamil Nadu"
"Tata Motors","Nexon EV","ev_four_wheeler",25,"2021-03-01","Uttar Pradesh"
"Tata Motors","Nexon EV","ev_four_wheeler",28,"2021-03-01","Gujarat"
"Ather Energy","450X","ev_two_wheeler",98,"2021-04-01","Maharashtra"
"Ather Energy","450X","ev_two_wheeler",78,"2021-04-01","Karnataka"
"Ather Energy","450X","ev_two_wheeler",74,"2021-04-01","Delhi"
"Ather Energy","450X","ev_two_wheeler",58,"2021-04-01","Tamil Nadu"
"Ather Energy","450X","ev_two_wheeler",55,"2021-04-01","Uttar Pradesh"
"Ather Energy","450X","ev_two_wheeler",60,"2021-04-01","Gujarat"
"TVS Motor","iQube","ev_two_wheeler",51,"2021-04-01","Maharashtra"
"TVS Motor","iQube","ev_two_wheeler",39,"2021-04-01","Karnataka"
"TVS Motor","iQube","ev_two_wheeler",33,"2021-04-01","Delhi"
"TVS Motor","iQube","ev_two_wheeler",33,"2021-04-01","Tamil Nadu"
"TVS Motor","iQube","ev_two_wheeler",28,"2021-04-01","Uttar Pradesh"
"TVS Motor","iQube","ev_two_wheeler",32,"2021-04-01","Gujarat"
"Bajaj Auto","Chetak","ev_two_wheeler",28,"2021-04-01","Maharashtra"
"Bajaj Auto","Chetak","ev_two_wheeler",22,"2021-04-01","Karnataka"
"Bajaj Auto","Chetak","ev_two_wheeler",19,"2021-04-01","Delhi"
"Bajaj Auto","Chetak","ev_two_wheeler",15,"2021-04-01","Tamil Nadu"
"Bajaj Auto","Chetak","ev_two_wheeler",14,"2021-04-01","Uttar Pradesh"
"Bajaj Auto","Chetak","ev_two_wheeler",14,"2021-04-01","Gujarat"
"Hero Electric","Photon","ev_two_wheeler",81,"2021-04-01","Maharashtra"
"Hero Electric","Photon","ev_two_wheeler",72,"2021-04-01","Karnataka"
"Hero Electric","Photon","ev_two_wheeler",68,"2021-04-01","Delhi"
"Hero Electric","Photon","ev_two_wheeler",51,"2021-04-01","Tamil Nadu"
"Hero Electric","Photon","ev_two_wheeler",58,"2021-04-01","Uttar Pradesh"
"Hero Electric","Photon","ev_two_wheeler",48,"2021-04-01","Gujarat"
"Tata Motors","Nexon EV","ev_four_wheeler",67,"2021-04-01","Maharashtra"
"Tata Motors","Nexon EV","ev_four_wheeler",65,"2021-04-01","Karnataka"
"Tata Motors","Nexon EV","ev_four_wheeler",44,"2021-04-01","Delhi"
"Tata Motors","Nexon EV","ev_four_wheeler",38,"2021-04-01","Tamil Nadu"
"Tata Motors","Nexon EV","ev_four_wheeler",37,"2021-04-01","Uttar Pradesh"
"Tata Motors","Nexon EV","ev_four_wheeler",44,"2021-04-01","Gujarat"
"Ather Energy","450X","ev_two_wheeler",82,"2021-05-01","Maharashtra"
"Ather Energy","450X","ev_two_wheeler",74,"2021-05-01","Karnataka"
"Ather Energy","450X","ev_two_wheeler",61,"2021-05-01","Delhi"
"Ather Energy","450X","ev_two_wheeler",48,"2021-05-01","Tamil Nadu"
"Ather Energy","450X","ev_two_wheeler",61,"2021-05-01","Uttar Pradesh"
"Ather Energy","450X","ev_two_wheeler",51,"2021-05-01","Gujarat"
"TVS Motor","iQube","ev_two_wheeler",54,"2021-05-01","Maharashtra"
"TVS Motor","iQube","ev_two_wheeler",50,"2021-05-01","Karnataka"
"TVS Motor","iQube","ev_two_wheeler",34,"2021-05-01","Delhi"
"TVS Motor","iQube","ev_two_wheeler",33,"2021-05-01","Tamil Nadu"
"TVS Motor","iQube","ev_two_wheeler",32,"2021-05-01","Uttar Pradesh"
"TVS Motor","iQube","ev_two_wheeler",27,"2021-05-01","Gujarat"
"Bajaj Auto","Chetak","ev_two_wheeler",25,"2021-05-01","Maharashtra"
"Bajaj Auto","Chetak","ev_two_wheeler",23,"2021-05-01","Karnataka"
"Bajaj Auto","Chetak","ev_two_wheeler",20,"2021-05-01","Delhi"
"Bajaj Auto","Chetak","ev_two_wheeler",15,"2021-05-01","Tamil Nadu"
"Bajaj Auto","Chetak","ev_two_wheeler",17,"2021-05-01","Uttar Pradesh"
"Bajaj Auto","Chetak","ev_two_wheeler",16,"2021-05-01","Gujarat"
"Hero Electric","Photon","ev_two_wheeler",109,"2021-05-01","Maharashtra"
"Hero Electric","Photon","ev_two_wheeler",83,"2021-05-01","Karnataka"
"Hero Electric","Photon","ev_two_wheeler",70,"2021-05-01","Delhi"
"Hero Electric","Photon","ev_two_wheeler",62,"2021-05-01","Tamil Nadu"
"Hero Electric","Photon","ev_two_wheeler",50,"2021-05-01","Uttar Pradesh"
"Hero Electric","Photon","ev_two_wheeler",56,"2021-05-01","Gujarat"
"Tata Motors","Nexon EV","ev_four_wheeler",63,"2021-05-01","Maharashtra"
"Tata Motors","Nexon EV","ev_four_wheeler",61,"2021-05-01","Karnataka"
"Tata Motors","Nexon EV","ev_four_wheeler",55,"2021-05-01","Delhi"
"Tata Motors","Nexon EV","ev_four_wheeler",41,"2021-05-01","Tamil Nadu"
"Tata Motors","Nexon EV","ev_four_wheeler",38,"2021-05-01","Uttar Pradesh"
"Tata Motors","Nexon EV","ev_four_wheeler",39,"2021-05-01","Gujarat"
"Ather Energy","450X","ev_two_wheeler",77,"2021-06-01","Maharashtra"
"Ather Energy","450X","ev_two_wheeler",75,"2021-06-01","Karnataka"
"Ather Energy","450X","ev_two_wheeler",63,"2021-06-01","Delhi"
"Ather Energy","450X","ev_two_wheeler",45,"2021-06-01","Tamil Nadu"
"Ather Energy","450X","ev_two_wheeler",45,"2021-06-01","Uttar Pradesh"
"Ather Energy","450X","ev_two_wheeler",60,"2021-06-01","Gujarat"
"TVS Motor","iQube","ev_two_wheeler",54,"2021-06-01","Maharashtra"
"TVS Motor","iQube","ev_two_wheeler",47,"2021-06-01","Karnataka"
"TVS Motor","iQube","ev_two_wheeler",29,"2021-06-01","Delhi"
"TVS Motor","iQube","ev_two_wheeler",30,"2021-06-01","Tamil Nadu"
"TVS Motor","iQube","ev_two_wheeler",29,"2021-06-01","Uttar Pradesh"
"TVS Motor","iQube","ev_two_wheeler",26,"2021-06-01","Gujarat"
"Bajaj Auto","Chetak","ev_two_wheeler",28,"2021-06-01","Maharashtra"
"Bajaj Auto","Chetak","ev_two_wheeler",27,"2021-06-01","Karnataka"
"Bajaj Auto","Chetak","ev_two_wheeler",19,"2021-06-01","Delhi"
"Bajaj Auto","Chetak","ev_two_wheeler",15,"2021-06-01","Tamil Nadu"
"Bajaj Auto","Chetak","ev_two_wheeler",19,"2021-06-01","Uttar Pradesh"
"Bajaj Auto","Chetak","ev_two_wheeler",16,"2021-06-01","Gujarat"
"Hero Electric","Photon","ev_two_wheeler",105,"2021-06-01","Maharashtra"
"Hero Electric","Photon","ev_two_wheeler",90,"2021-06-01","Karnataka"
"Hero Electric","Photon","ev_two_wheeler",67,"2021-06-01","Delhi"
"Hero Electric","Photon","ev_two_wheeler",57,"2021-06-01","Tamil Nadu"
"Hero Electric","Photon","ev_two_wheeler",53,"2021-06-01","Uttar Pradesh"
"Hero Electric","Photon","ev_two_wheeler",62,"2021-06-01","Gujarat"
"Tata Motors","Nexon EV","ev_four_wheeler",70,"2021-06-01","Maharashtra"
"Tata Motors","Nexon EV","ev_four_wheeler",52,"2021-06-01","Karnataka"
"Tata Motors","Nexon EV","ev_four_wheeler",54,"2021-06-01","Delhi"
"Tata Motors","Nexon EV","ev_four_wheeler",39,"2021-06-01","Tamil Nadu"
"Tata Motors","Nexon EV","ev_four_wheeler",47,"2021-06-01","Uttar Pradesh"
"Tata Motors","Nexon EV","ev_four_wheeler",45,"2021-06-01","Gujarat"
"Ather Energy","450X","ev_two_wheeler",93,"2021-07-01","Maharashtra"
"Ather Energy","450X","ev_two_wheeler",95,"2021-07-01","Karnataka"
"Ather Energy","450X","ev_two_wheeler",74,"2021-07-01","Delhi"
"Ather Energy","450X","ev_two_wheeler",56,"2021-07-01","Tamil Nadu"
"Ather Energy","450X","ev_two_wheeler",59,"2021-07-01","Uttar Pradesh"
"Ather Energy","450X","ev_two_wheeler",67,"2021-07-01","Gujarat"
"TVS Motor","iQube","ev_two_wheeler",48,"2021-07-01","Maharashtra"
"TVS Motor","iQube","ev_two_wheeler",39,"2021-07-01","Karnataka"
"TVS Motor","iQube","ev_two_wheeler",30,"2021-07-01","Delhi"
"TVS Motor","iQube","ev_two_wheeler",27,"2021-07-01","Tamil Nadu"
"TVS Motor","iQube","ev_two_wheeler",29,"2021-07-01","Uttar Pradesh"
"TVS Motor","iQube","ev_two_wheeler",25,"2021-07-01","Gujarat"
"Bajaj Auto","Chetak","ev_two_wheeler",27,"2021-07-01","Maharashtra"
"Bajaj Auto","Chetak","ev_two_wheeler",24,"2021-07-01","Karnataka"
"Bajaj Auto","Chetak","ev_two_wheeler",20,"2021-07-01","Delhi"
"Bajaj Auto","Chetak","ev_two_wheeler",17,"2021-07-01","Tamil Nadu"
"Bajaj Auto","Chetak","ev_two_wheeler",17,"2021-07-01","Uttar Pradesh"
"Bajaj Auto","Chetak","ev_two_wheeler",16,"2021-07-01","Gujarat"
"Hero Electric","Photon","ev_two_wheeler",92,"2021-07-01","Maharashtra"
"Hero Electric","Photon","ev_two_wheeler",72,"2021-07-01","Karnataka"
"Hero Electric","Photon","ev_two_wheeler",55,"2021-07-01","Delhi"
"Hero Electric","Photon","ev_two_wheeler",55,"2021-07-01","Tamil Nadu"
"Hero Electric","Photon","ev_two_wheeler",55,"2021-07-01","Uttar Pradesh"
"Hero Electric","Photon","ev_two_wheeler",53,"2021-07-01","Gujarat"
"Tata Motors","Nexon EV","ev_four_wheeler",82,"2021-07-01","Maharashtra"
"Tata Motors","Nexon EV","ev_four_wheeler",78,"2021-07-01","Karnataka"
"Tata Motors","Nexon EV","ev_four_wheeler",62,"2021-07-01","Delhi"
"Tata Motors","Nexon EV","ev_four_wheeler",48,"2021-07-01","Tamil Nadu"
"Tata Motors","Nexon EV","ev_four_wheeler",44,"2021-07-01","Uttar Pradesh"
"Tata Motors","Nexon EV","ev_four_wheeler",46,"2021-07-01","Gujarat"
"Ather Energy","450X","ev_two_wheeler",83,"2021-08-01","Maharashtra"
"Ather Energy","450X","ev_two_wheeler",97,"2021-08-01","Karnataka"
"Ather Energy","450X","ev_two_wheeler",66,"2021-08-01","Delhi"
"Ather Energy","450X","ev_two_wheeler",64,"2021-08-01","Tamil Nadu"
"Ather Energy","450X","ev_two_wheeler",58,"2021-08-01","Uttar Pradesh"
"Ather Energy","450X","ev_two_wheeler",55,"2021-08-01","Gujarat"
"TVS Motor","iQube","ev_two_wheeler",51,"2021-08-01","Maharashtra"
"TVS Motor","iQube","ev_two_wheeler",45,"2021-08-01","Karnataka"
"TVS Motor","iQube","ev_two_wheeler",35,"2021-08-01","Delhi"
"TVS Motor","iQube","ev_two_wheeler",28,"2021-08-01","Tamil Nadu"
"TVS Motor","iQube","ev_two_wheeler",28,"2021-08-01","Uttar Pradesh"
"TVS Motor","iQube","ev_two_wheeler",34,"2021-08-01","Gujarat"
"Bajaj Auto","Chetak","ev_two_wheeler",39,"2021-08-01","Maharashtra"
"Bajaj Auto","Chetak","ev_two_wheeler",29,"2021-08-01","Karnataka"
"Bajaj Auto","Chetak","ev_two_wheeler",24,"2021-08-01","Delhi"
"Bajaj Auto","Chetak","ev_two_wheeler",21,"2021-08-01","Tamil Nadu"
"Bajaj Auto","Chetak","ev_two_wheeler",20,"2021-08-01","Uttar Pradesh"
"Bajaj Auto","Chetak","ev_two_wheeler",23,"2021-08-01","Gujarat"
"Hero Electric","Photon","ev_two_wheeler",95,"2021-08-01","Maharashtra"
"Hero Electric","Photon","ev_two_wheeler",87,"2021-08-01","Karnataka"
"Hero Electric","Photon","ev_two_wheeler",64,"2021-08-01","Delhi"
"Hero Electric","Photon","ev_two_wheeler",51,"2021-08-01","Tamil Nadu"
"Hero Electric","Photon","ev_two_wheeler",48,"2021-08-01","Uttar Pradesh"
"Hero Electric","Photon","ev_two_wheeler",59,"2021-08-01","Gujarat"
"Tata Motors","Nexon EV","ev_four_wheeler",73,"2021-08-01","Maharashtra"
"Tata Motors","Nexon EV","ev_four_wheeler",62,"2021-08-01","Karnataka"
"Tata Motors","Nexon EV","ev_four_wheeler",48,"2021-08-01","Delhi"
"Tata Motors","Nexon EV","ev_four_wheeler",43,"2021-08-01","Tamil Nadu"
"Tata Motors","Nexon EV","ev_four_wheeler",53,"2021-08-01","Uttar Pradesh"
"Tata Motors","Nexon EV","ev_four_wheeler",47,"2021-08-01","Gujarat"
"Ather Energy","450X","ev_two_wheeler",107,"2021-09-01","Maharashtra"
"Ather Energy","450X","ev_two_wheeler",104,"2021-09-01","Karnataka"
"Ather Energy","450X","ev_two_wheeler",83,"2021-09-01","Delhi"
"Ather Energy","450X","ev_two_wheeler",71,"2021-09-01","Tamil Nadu"
"Ather Energy","450X","ev_two_wheeler",77,"2021-09-01","Uttar Pradesh"
"Ather Energy","450X","ev_two_wheeler",67,"2021-09-01","Gujarat"
"Ola Electric","S1 Pro","ev_two_wheeler",212,"2021-09-01","Maharashtra"
"Ola Electric","S1 Pro","ev_two_wheeler",213,"2021-09-01","Karnataka"
"Ola Electric","S1 Pro","ev_two_wheeler",173,"2021-09-01","Delhi"
"Ola Electric","S1 Pro","ev_two_wheeler",141,"2021-09-01","Tamil Nadu"
"Ola Electric","S1 Pro","ev_two_wheeler",131,"2021-09-01","Uttar Pradesh"
"Ola Electric","S1 Pro","ev_two_wheeler",119,"2021-09-01","Gujarat"
"TVS Motor","iQube","ev_two_wheeler",68,"2021-09-01","Maharashtra"
"TVS Motor","iQube","ev_two_wheeler",49,"2021-09-01","Karnataka"
"TVS Motor","iQube","ev_two_wheeler",47,"2021-09-01","Delhi"
"TVS Motor","iQube","ev_two_wheeler",35,"2021-09-01","Tamil Nadu"
"TVS Motor","iQube","ev_two_wheeler",43,"2021-09-01","Uttar Pradesh"
"TVS Motor","iQube","ev_two_wheeler",34,"2021-09-01","Gujarat"
"Bajaj Auto","Chetak","ev_two_wheeler",36,"2021-09-01","Maharashtra"
"Bajaj Auto","Chetak","ev_two_wheeler",30,"2021-09-01","Karnataka"
"Bajaj Auto","Chetak","ev_two_wheeler",30,"2021-09-01","Delhi"
"Bajaj Auto","Chetak","ev_two_wheeler",21,"2021-09-01","Tamil Nadu"
"Bajaj Auto","Chetak","ev_two_wheeler",21,"2021-09-01","Uttar Pradesh"
"Bajaj Auto","Chetak","ev_two_wheeler",25,"2021-09-01","Gujarat"
"Hero Electric","Photon","ev_two_wheeler",82,"2021-09-01","Maharashtra"
"Hero Electric","Photon","ev_two_wheeler",88,"2021-09-01","Karnataka"
"Hero Electric","Photon","ev_two_wheeler",60,"2021-09-01","Delhi"
"Hero Electric","Photon","ev_two_wheeler",55,"2021-09-01","Tamil Nadu"
"Hero Electric","Photon","ev_two_wheeler",52,"2021-09-01","Uttar Pradesh"
"Hero Electric","Photon","ev_two_wheeler",59,"2021-09-01","Gujarat"
"Tata Motors","Nexon EV","ev_four_wheeler",89,"2021-09-01","Maharashtra"
"Tata Motors","Nexon EV","ev_four_wheeler",74,"2021-09-01","Karnataka"
"Tata Motors","Nexon EV","ev_four_wheeler",56,"2021-09-01","Delhi"
"Tata Motors","Nexon EV","ev_four_wheeler",46,"2021-09-01","Tamil Nadu"
"Tata Motors","Nexon EV","ev_four_wheeler",44,"2021-09-01","Uttar Pradesh"
"Tata Motors","Nexon EV","ev_four_wheeler",56,"2021-09-01","Gujarat"
"Ather Energy","450X","ev_two_wheeler",149,"2021-10-01","Maharashtra"
"Ather Energy","450X","ev_two_wheeler",133,"2021-10-01","Karnataka"
"Ather Energy","450X","ev_two_wheeler",113,"2021-10-01","Delhi"
"Ather Energy","450X","ev_two_wheeler",96,"2021-10-01","Tamil Nadu"
"Ather Energy","450X","ev_two_wheeler",83,"2021-10-01","Uttar Pradesh"
"Ather Energy","450X","ev_two_wheeler",100,"2021-10-01","Gujarat"
"Ola Electric","S1 Pro","ev_two_wheeler",303,"2021-10-01","Maharashtra"
"Ola Electric","S1 Pro","ev_two_wheeler",298,"2021-10-01","Karnataka"
"Ola Electric","S1 Pro","ev_two_wheeler",273,"2021-10-01","Delhi"
"Ola Electric","S1 Pro","ev_two_wheeler",201,"2021-10-01","Tamil Nadu"
"Ola Electric","S1 Pro","ev_two_wheeler",228,"2021-10-01","Uttar Pradesh"
"Ola Electric","S1 Pro","ev_two_wheeler",198,"2021-10-01","Gujarat"
"TVS Motor","iQube","ev_two_wheeler",81,"2021-10-01","Maharashtra"
"TVS Motor","iQube","ev_two_wheeler",63,"2021-10-01","Karnataka"
"TVS Motor","iQube","ev_two_wheeler",52,"2021-10-01","Delhi"
"TVS Motor","iQube","ev_two_wheeler",43,"2021-10-01","Tamil Nadu"
"TVS Motor","iQube","ev_two_wheeler",54,"2021-10-01","Uttar Pradesh"
"TVS Motor","iQube","ev_two_wheeler",51,"2021-10-01","Gujarat"
"Bajaj Auto","Chetak","ev_two_wheeler",54,"2021-10-01","Maharashtra"
"Bajaj Auto","Chetak","ev_two_wheeler",39,"2021-10-01","Karnataka"
"Bajaj Auto","Chetak","ev_two_wheeler",40,"2021-10-01","Delhi"
"Bajaj Auto","Chetak","ev_two_wheeler",29,"2021-10-01","Tamil Nadu"
"Bajaj Auto","Chetak","ev_two_wheeler",31,"2021-10-01","Uttar Pradesh"
"Bajaj Auto","Chetak","ev_two_wheeler",34,"2021-10-01","Gujarat"
"Hero Electric","Photon","ev_two_wheeler",102,"2021-10-01","Maharashtra"
"Hero Electric","Photon","ev_two_wheeler",92,"2021-10-01","Karnataka"
"Hero Electric","Photon","ev_two_wheeler",78,"2021-10-01","Delhi"
"Hero Electric","Photon","ev_two_wheeler",71,"2021-10-01","Tamil Nadu"
"Hero Electric","Photon","ev_two_wheeler",59,"2021-10-01","Uttar Pradesh"
"Hero Electric","Photon","ev_two_wheeler",57,"2021-10-01","Gujarat"
"Tata Motors","Nexon EV","ev_four_wheeler",116,"2021-10-01","Maharashtra"
"Tata Motors","Nexon EV","ev_four_wheeler",108,"2021-10-01","Karnataka"
"Tata Motors","Nexon EV","ev_four_wheeler",103,"2021-10-01","Delhi"
"Tata Motors","Nexon EV","ev_four_wheeler",70,"2021-10-01","Tamil Nadu"
"Tata Motors","Nexon EV","ev_four_wheeler",80,"2021-10-01","Uttar Pradesh"
"Tata Motors","Nexon EV","ev_four_wheeler",65,"2021-10-01","Gujarat"
"Ather Energy","450X","ev_two_wheeler",189,"2021-11-01","Maharashtra"
"Ather Energy","450X","ev_two_wheeler",169,"2021-11-01","Karnataka"
"Ather Energy","450X","ev_two_wheeler",138,"2021-11-01","Delhi"
"Ather Energy","450X","ev_two_wheeler",111,"2021-11-01","Tamil Nadu"
"Ather Energy","450X","ev_two_wheeler",101,"2021-11-01","Uttar Pradesh"
"Ather Energy","450X","ev_two_wheeler",114,"2021-11-01","Gujarat"
"Ola Electric","S1 Pro","ev_two_wheeler",374,"2021-11-01","Maharashtra"
"Ola Electric","S1 Pro","ev_two_wheeler",257,"2021-11-01","Karnataka"
"Ola Electric","S1 Pro","ev_two_wheeler",234,"2021-11-01","Delhi"
"Ola Electric","S1 Pro","ev_two_wheeler",215,"2021-11-01","Tamil Nadu"
"Ola Electric","S1 Pro","ev_two_wheeler",180,"2021-11-01","Uttar Pradesh"
"Ola Electric","S1 Pro","ev_two_wheeler",184,"2021-11-01","Gujarat"
"TVS Motor","iQube","ev_two_wheeler",84,"2021-11-01","Maharashtra"
"TVS Motor","iQube","ev_two_wheeler",65,"2021-11-01","Karnataka"
"TVS Motor","iQube","ev_two_wheeler",66,"2021-11-01","Delhi"
"TVS Motor","iQube","ev_two_wheeler",57,"2021-11-01","Tamil Nadu"
"TVS Motor","iQube","ev_two_wheeler",52,"2021-11-01","Uttar Pradesh"
"TVS Motor","iQube","ev_two_wheeler",59,"2021-11-01","Gujarat"
"Bajaj Auto","Chetak","ev_two_wheeler",48,"2021-11-01","Maharashtra"
"Bajaj Auto","Chetak","ev_two_wheeler",41,"2021-11-01","Karnataka"
"Bajaj Auto","Chetak","ev_two_wheeler",33,"2021-11-01","Delhi"
"Bajaj Auto","Chetak","ev_two_wheeler",31,"2021-11-01","Tamil Nadu"
"Bajaj Auto","Chetak","ev_two_wheeler",33,"2021-11-01","Uttar Pradesh"
"Bajaj Auto","Chetak","ev_two_wheeler",32,"2021-11-01","Gujarat"
"Hero Electric","Photon","ev_two_wheeler",101,"2021-11-01","Maharashtra"
"Hero Electric","Photon","ev_two_wheeler",95,"2021-11-01","Karnataka"
